run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,5691.83561,8.35309,15.81249,0.8008,0.1564,0.0428,0.135,0.3344,0.0304,0.2494,0.1002,0.2604,0.0304,0.2494,5967.21139,7.56003,14.97344,0.7404,0.24,0.0196,0.209,0.505,0.016,0.1178,0.1552,0.4054,0.016,0.1178,841.8623,9.26185,17.26904,0.9188,0.0748,0.0064,0.0618,0.1636,0.0054,0.0402,0.0502,0.1448,0.0054,0.0402,817.6838,9.2236,17.00301,0.9118,0.0424,0.0458,0.0394,0.107,0.0332,0.2752,0.031,0.0882,0.0332,0.2752
2,7123.22319,8.47041,16.06637,0.8218,0.1342,0.044,0.126,0.311,0.0374,0.277,0.0906,0.2478,0.0374,0.277,5511.76068,7.61154,15.09234,0.754,0.226,0.02,0.196,0.5172,0.0188,0.1234,0.1534,0.4222,0.0188,0.1234,877.56147,9.31628,17.44686,0.9204,0.0734,0.0062,0.0632,0.1736,0.0062,0.041,0.0526,0.1514,0.0062,0.041,3314.54115,9.14198,16.97428,0.9162,0.0378,0.046,0.0368,0.1008,0.0388,0.2864,0.028,0.0834,0.0388,0.2864
3,6776.47773,8.59501,16.2682,0.8326,0.1258,0.0416,0.1304,0.2816,0.0448,0.3104,0.0972,0.2262,0.0448,0.3104,5742.19767,7.62102,15.16938,0.7618,0.2172,0.021,0.2176,0.4802,0.0234,0.1438,0.1676,0.4002,0.0234,0.1438,1467.80549,9.3228,17.47551,0.9244,0.0694,0.0062,0.0676,0.1578,0.009,0.0482,0.0568,0.14,0.009,0.0482,2435.67396,9.22397,17.07806,0.921,0.0356,0.0434,0.0374,0.0928,0.0466,0.3264,0.0294,0.0772,0.0466,0.3264
4,6256.95482,8.40681,15.9635,0.8108,0.1448,0.0444,0.1526,0.2896,0.0298,0.3018,0.1136,0.2374,0.0298,0.3018,6585.78635,7.50903,14.97206,0.745,0.2342,0.0208,0.2394,0.4634,0.0158,0.134,0.178,0.3822,0.0158,0.134,1143.84191,9.30905,17.43632,0.9178,0.0764,0.0058,0.0754,0.1602,0.0062,0.0422,0.063,0.1416,0.0062,0.0422,3136.23793,9.17545,17.0229,0.9114,0.042,0.0466,0.0472,0.0976,0.0314,0.322,0.0364,0.0814,0.0314,0.322
5,7258.04031,8.52957,16.09756,0.8264,0.129,0.0446,0.1152,0.2808,0.0374,0.3026,0.0828,0.2234,0.0374,0.3026,5930.22292,7.62092,15.03475,0.7532,0.2252,0.0216,0.1854,0.498,0.0202,0.1364,0.1448,0.4112,0.0202,0.1364,1046.71738,9.31505,17.39878,0.9236,0.0706,0.0058,0.0554,0.1634,0.0076,0.0434,0.048,0.143,0.0076,0.0434,1288.11214,9.21653,17.03455,0.9172,0.0356,0.0472,0.0304,0.0894,0.0396,0.3192,0.0238,0.0744,0.0396,0.3192
6,6424.31957,8.50167,16.05702,0.8178,0.1326,0.0496,0.1524,0.2428,0.0246,0.2884,0.1128,0.1954,0.0246,0.2884,6255.28419,7.54326,15.02159,0.7472,0.229,0.0238,0.2506,0.4234,0.0128,0.1298,0.1974,0.3592,0.0128,0.1298,1162.35641,9.2786,17.33743,0.9186,0.0742,0.0072,0.0784,0.1422,0.0054,0.0424,0.0658,0.126,0.0054,0.0424,1405.93631,9.23134,17.02417,0.911,0.0376,0.0514,0.0426,0.0834,0.0258,0.3048,0.0332,0.071,0.0258,0.3048
7,6558.54309,8.47551,16.11496,0.8318,0.1288,0.0394,0.145,0.2642,0.0304,0.2692,0.103,0.2148,0.0304,0.2692,5442.50117,7.65223,15.2079,0.7702,0.2134,0.0164,0.2198,0.456,0.0148,0.114,0.1758,0.3808,0.0148,0.114,662.40671,9.30837,17.40899,0.9246,0.0702,0.0052,0.0728,0.1514,0.0046,0.0342,0.0614,0.1338,0.0046,0.0342,2308.65405,9.21261,17.09473,0.9232,0.0364,0.0404,0.0392,0.0916,0.0316,0.2854,0.0308,0.077,0.0316,0.2854
8,6968.16509,8.45855,15.97848,0.8028,0.1364,0.0608,0.1452,0.297,0.0362,0.3082,0.1054,0.2392,0.0362,0.3082,6328.04039,7.51286,14.92774,0.7426,0.2254,0.032,0.2266,0.4874,0.0182,0.1532,0.1738,0.4022,0.0182,0.1532,1893.35137,9.28311,17.39226,0.917,0.0726,0.0104,0.0748,0.1604,0.0066,0.0506,0.0612,0.1398,0.0066,0.0506,985.97646,9.16984,16.85663,0.9008,0.036,0.0632,0.0368,0.0936,0.0382,0.3228,0.03,0.0776,0.0382,0.3228
9,6207.79711,8.57862,16.27172,0.8322,0.131,0.0368,0.1362,0.2674,0.0382,0.2946,0.1006,0.2154,0.0382,0.2946,5581.55117,7.58006,15.04378,0.754,0.2266,0.0194,0.2202,0.471,0.02,0.1406,0.1688,0.3924,0.02,0.1406,742.45105,9.32573,17.46728,0.9222,0.0722,0.0056,0.0674,0.1548,0.008,0.0454,0.0564,0.1392,0.008,0.0454,2383.79331,9.25027,17.13449,0.9242,0.0372,0.0386,0.0362,0.092,0.041,0.3196,0.0294,0.0744,0.041,0.3196
10,7649.76384,8.63965,16.26741,0.8382,0.1188,0.043,0.1104,0.2834,0.0256,0.3526,0.0806,0.2252,0.0256,0.3526,6306.36161,7.77088,15.32741,0.7778,0.201,0.0212,0.1764,0.4952,0.0132,0.1548,0.138,0.4136,0.0132,0.1548,1012.80621,9.32574,17.40607,0.9274,0.067,0.0056,0.0566,0.1682,0.005,0.049,0.0474,0.1486,0.005,0.049,3411.09265,9.23405,17.09725,0.9204,0.035,0.0446,0.032,0.0986,0.027,0.3704,0.0246,0.0812,0.027,0.3704
11,7017.24823,8.31343,15.81223,0.7962,0.1588,0.045,0.1584,0.3286,0.0296,0.2924,0.1132,0.2534,0.0296,0.2924,6690.78878,7.483,14.90065,0.7364,0.2412,0.0224,0.233,0.5074,0.017,0.14,0.1756,0.4038,0.017,0.14,1152.21508,9.26402,17.34332,0.9146,0.0784,0.007,0.0788,0.1716,0.007,0.0476,0.0652,0.147,0.007,0.0476,3377.68056,9.18181,17.04179,0.9086,0.043,0.0484,0.0464,0.107,0.0322,0.3214,0.0364,0.087,0.0322,0.3214
12,5636.32668,8.60046,16.23468,0.8444,0.1166,0.039,0.1268,0.2474,0.0406,0.284,0.0926,0.2036,0.0406,0.284,5607.34575,7.58145,15.12971,0.7698,0.213,0.0172,0.2194,0.4652,0.0198,0.1238,0.174,0.3874,0.0198,0.1238,902.51344,9.27497,17.34843,0.9286,0.0666,0.0048,0.065,0.1542,0.0072,0.0408,0.0572,0.1416,0.0072,0.0408,2734.78245,9.25796,17.19144,0.9264,0.0332,0.0404,0.0322,0.0824,0.0418,0.2998,0.0272,0.069,0.0418,0.2998
13,5149.24037,8.65915,16.26727,0.8356,0.1136,0.0508,0.118,0.225,0.032,0.2828,0.0848,0.1828,0.032,0.2828,5842.56368,7.56264,15.01074,0.7546,0.2198,0.0256,0.199,0.46,0.0168,0.1318,0.1636,0.3918,0.0168,0.1318,1343.06918,9.29617,17.36939,0.92,0.0726,0.0074,0.0682,0.1518,0.0064,0.0438,0.0568,0.136,0.0064,0.0438,1928.74596,9.2603,17.07084,0.9126,0.035,0.0524,0.0316,0.0806,0.0334,0.2988,0.0258,0.0672,0.0334,0.2988
14,7235.34382,8.45961,16.13516,0.8224,0.1366,0.041,0.1416,0.314,0.031,0.271,0.1022,0.2482,0.031,0.271,5942.66987,7.64433,15.17491,0.7632,0.218,0.0188,0.2222,0.4974,0.017,0.1264,0.1696,0.4042,0.017,0.1264,376.1735,9.29674,17.36406,0.924,0.0702,0.0058,0.0674,0.164,0.0062,0.041,0.0568,0.1452,0.0062,0.041,2358.16556,9.21444,17.11925,0.92,0.0364,0.0436,0.0398,0.0964,0.0328,0.2886,0.0308,0.0812,0.0328,0.2886
15,6659.23796,8.5091,16.13271,0.8168,0.1398,0.0434,0.147,0.2756,0.0334,0.3122,0.108,0.2192,0.0334,0.3122,6318.69325,7.45368,14.82734,0.7384,0.2402,0.0214,0.235,0.4706,0.0174,0.1382,0.179,0.3898,0.0174,0.1382,949.67633,9.30275,17.41283,0.9196,0.0742,0.0062,0.0704,0.1508,0.0068,0.0452,0.0586,0.135,0.0068,0.0452,2322.32873,9.2222,17.07309,0.9154,0.0392,0.0454,0.0378,0.0924,0.0352,0.325,0.0314,0.077,0.0352,0.325
16,5936.57235,8.51836,16.023,0.822,0.127,0.051,0.1208,0.2512,0.0338,0.2978,0.0922,0.205,0.0338,0.2978,5971.90091,7.61533,15.04133,0.7548,0.2202,0.025,0.2,0.4532,0.0178,0.133,0.1604,0.3856,0.0178,0.133,1286.272,9.28451,17.36425,0.9162,0.076,0.0078,0.0676,0.155,0.0068,0.0462,0.0556,0.1394,0.0068,0.0462,3008.44604,9.16324,16.96225,0.9086,0.0372,0.0542,0.033,0.0894,0.036,0.3182,0.0274,0.0744,0.036,0.3182
17,7331.12062,8.4546,16.00383,0.8064,0.145,0.0486,0.1382,0.302,0.0344,0.292,0.0988,0.2372,0.0344,0.292,6662.60407,7.50455,14.87078,0.7374,0.2374,0.0252,0.2092,0.4958,0.019,0.1442,0.1596,0.4078,0.019,0.1442,1102.51975,9.28837,17.36228,0.919,0.0744,0.0066,0.0636,0.1596,0.007,0.044,0.0538,0.1434,0.007,0.044,1432.02016,9.17723,16.9461,0.91,0.0386,0.0514,0.0336,0.096,0.0362,0.3148,0.0278,0.0794,0.0362,0.3148
18,6552.10267,8.45048,16.10106,0.8188,0.1448,0.0364,0.1648,0.2716,0.0264,0.2846,0.1206,0.2192,0.0264,0.2846,6076.8558,7.50949,14.99305,0.7464,0.2374,0.0162,0.251,0.4496,0.013,0.1268,0.191,0.3734,0.013,0.1268,821.6399,9.30715,17.36072,0.9228,0.0724,0.0048,0.0722,0.1466,0.0054,0.0428,0.061,0.132,0.0054,0.0428,1205.37441,9.30794,17.18661,0.9228,0.0392,0.038,0.04,0.0898,0.0288,0.3042,0.0328,0.0762,0.0288,0.3042
19,8023.73216,8.20176,15.5241,0.767,0.1432,0.0898,0.1494,0.3098,0.0316,0.287,0.1076,0.245,0.0316,0.287,6485.25665,7.50119,14.81294,0.728,0.2262,0.0458,0.226,0.4904,0.015,0.1374,0.17,0.4,0.015,0.1374,1066.05956,9.27505,17.30253,0.9176,0.068,0.0144,0.0674,0.1544,0.0036,0.0422,0.0544,0.1352,0.0036,0.0422,2240.06137,8.95827,16.47718,0.8692,0.035,0.0958,0.0332,0.0914,0.035,0.3084,0.0282,0.0786,0.035,0.3084
20,5801.95825,8.45479,16.05379,0.8168,0.137,0.0462,0.138,0.286,0.0234,0.2562,0.1026,0.2318,0.0234,0.2562,5664.68083,7.53964,14.9721,0.7462,0.233,0.0208,0.2196,0.479,0.0118,0.1154,0.1688,0.3942,0.0118,0.1154,724.50006,9.29422,17.36475,0.925,0.0686,0.0064,0.0656,0.1472,0.0036,0.0372,0.053,0.129,0.0036,0.0372,1233.36612,9.22335,17.0295,0.915,0.0364,0.0486,0.0326,0.09,0.025,0.2772,0.0278,0.0722,0.025,0.2772
21,6827.58038,8.3503,15.90075,0.8016,0.1516,0.0468,0.155,0.303,0.041,0.269,0.1118,0.24,0.041,0.269,5588.66154,7.55127,14.96253,0.7412,0.2352,0.0236,0.2278,0.4768,0.0194,0.1256,0.172,0.3938,0.0194,0.1256,820.66071,9.28938,17.32636,0.9198,0.0734,0.0068,0.0698,0.1538,0.0068,0.041,0.0576,0.1342,0.0068,0.041,2645.16212,9.17203,17.02348,0.9086,0.0406,0.0508,0.044,0.0964,0.0442,0.2942,0.0332,0.0834,0.0442,0.2942
22,6619.8805,8.46148,16.06166,0.815,0.1364,0.0486,0.1566,0.2906,0.0204,0.292,0.115,0.2306,0.0204,0.292,6405.06263,7.57475,15.11238,0.7518,0.2222,0.026,0.244,0.468,0.0122,0.1494,0.1856,0.3866,0.0122,0.1494,940.28383,9.29104,17.39702,0.9208,0.0714,0.0078,0.0768,0.1558,0.0046,0.0468,0.0634,0.1358,0.0046,0.0468,2548.19752,9.21767,17.03885,0.9118,0.037,0.0512,0.0408,0.0948,0.0214,0.3122,0.0322,0.0776,0.0214,0.3122
23,6386.21013,8.61439,16.16758,0.826,0.1094,0.0646,0.1096,0.233,0.046,0.2616,0.0808,0.188,0.046,0.2616,5467.27542,7.59649,15.04871,0.7522,0.2136,0.0342,0.1922,0.4794,0.022,0.125,0.158,0.4082,0.022,0.125,915.59841,9.30442,17.4207,0.9202,0.069,0.0108,0.0618,0.159,0.0064,0.0416,0.0542,0.1442,0.0064,0.0416,2131.78944,9.1247,16.83041,0.901,0.032,0.067,0.0294,0.073,0.0482,0.2788,0.023,0.0606,0.0482,0.2788
24,6907.96208,8.14468,15.57327,0.7794,0.1798,0.0408,0.1832,0.3414,0.0378,0.2718,0.1356,0.2704,0.0378,0.2718,6766.97839,7.453,14.812,0.7282,0.252,0.0198,0.2614,0.4812,0.0194,0.126,0.1894,0.3836,0.0194,0.126,1158.49664,9.28508,17.3703,0.9142,0.0794,0.0064,0.0836,0.1588,0.008,0.0452,0.0668,0.137,0.008,0.0452,3594.02524,9.15181,16.98014,0.9062,0.0498,0.044,0.0524,0.1078,0.041,0.299,0.0402,0.092,0.041,0.299
25,6806.62843,8.43804,15.92754,0.8172,0.1382,0.0446,0.1418,0.2998,0.0312,0.31,0.1026,0.2362,0.0312,0.31,5637.0269,7.54387,14.96416,0.7536,0.225,0.0214,0.2176,0.4828,0.0168,0.1374,0.1684,0.3952,0.0168,0.1374,742.91259,9.2936,17.36452,0.9222,0.0718,0.006,0.0674,0.1594,0.0064,0.045,0.0568,0.1408,0.0064,0.045,1992.41123,9.199,16.99837,0.9154,0.0372,0.0474,0.0358,0.0954,0.0336,0.3292,0.0298,0.0774,0.0336,0.3292
26,6231.61576,8.52567,16.06132,0.8182,0.1264,0.0554,0.1276,0.2678,0.0212,0.2948,0.094,0.2194,0.0212,0.2948,5844.40511,7.63188,15.08845,0.7548,0.2186,0.0266,0.2048,0.476,0.0108,0.13,0.1572,0.402,0.0108,0.13,1137.30873,9.28637,17.35511,0.9234,0.0688,0.0078,0.064,0.1564,0.0052,0.0438,0.0536,0.1392,0.0052,0.0438,1860.31362,9.22534,17.00848,0.9086,0.0342,0.0572,0.0314,0.084,0.0222,0.3124,0.027,0.0718,0.0222,0.3124
27,5200.79958,8.60209,16.26162,0.8336,0.1284,0.038,0.1272,0.2598,0.0366,0.2718,0.098,0.2082,0.0366,0.2718,5594.72269,7.56441,15.06794,0.7568,0.226,0.0172,0.2172,0.4594,0.0188,0.124,0.1672,0.3852,0.0188,0.124,731.1146,9.30703,17.43356,0.9206,0.0746,0.0048,0.0698,0.1572,0.0064,0.0406,0.06,0.1384,0.0064,0.0406,1734.87532,9.2527,17.10341,0.9244,0.0358,0.0398,0.0346,0.0858,0.039,0.291,0.0276,0.0714,0.039,0.291
28,7702.20087,8.18149,15.5984,0.7698,0.1678,0.0624,0.1546,0.3572,0.024,0.2948,0.1104,0.2756,0.024,0.2948,6467.06693,7.55725,14.86077,0.7296,0.2374,0.033,0.2158,0.5076,0.012,0.1404,0.1612,0.4008,0.012,0.1404,1208.12443,9.2691,17.3106,0.9098,0.079,0.0112,0.0754,0.1776,0.0046,0.0494,0.0608,0.1496,0.0046,0.0494,3043.32691,9.08203,16.77171,0.8816,0.0512,0.0672,0.0472,0.123,0.0264,0.3254,0.0368,0.0988,0.0264,0.3254
29,6849.5361,8.33127,15.84875,0.7928,0.1528,0.0544,0.1596,0.2908,0.023,0.2922,0.1186,0.234,0.023,0.2922,5961.2861,7.58179,14.95204,0.7478,0.2288,0.0234,0.2312,0.4386,0.0116,0.1242,0.1766,0.3554,0.0116,0.1242,1034.33916,9.2407,17.26328,0.9084,0.0832,0.0084,0.0878,0.164,0.0056,0.0464,0.071,0.1396,0.0056,0.0464,2626.43965,9.13931,16.90236,0.8932,0.0504,0.0564,0.054,0.1062,0.024,0.311,0.0414,0.09,0.024,0.311
30,5850.52249,8.52302,16.06883,0.8082,0.1306,0.0612,0.1404,0.2504,0.0342,0.3006,0.1038,0.2072,0.0342,0.3006,5866.78662,7.52667,14.90102,0.7416,0.226,0.0324,0.2316,0.4402,0.0162,0.1424,0.18,0.3714,0.0162,0.1424,1134.8674,9.25735,17.32017,0.9116,0.0778,0.0106,0.0794,0.1576,0.0054,0.0492,0.067,0.139,0.0054,0.0492,1886.5063,9.15525,16.86702,0.8976,0.0384,0.064,0.0432,0.0864,0.0356,0.3158,0.032,0.072,0.0356,0.3158
