run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,16254.50282,12.24454,27.00387,0.6474,0.2914,0.0612,0.2954,0.5738,0.0462,0.3854,0.1782,0.3904,0.0462,0.3854,11426.99042,10.92347,25.03084,0.5876,0.375,0.0374,0.3578,0.749,0.0282,0.2262,0.2298,0.5156,0.0282,0.2262,1154.51113,14.69462,32.39559,0.877,0.112,0.011,0.0972,0.2376,0.011,0.0632,0.0748,0.195,0.011,0.0632,3165.49106,14.44233,31.26293,0.8544,0.0776,0.068,0.0768,0.1638,0.0514,0.4256,0.0526,0.1278,0.0514,0.4256
2,19435.59867,12.30159,27.10936,0.6522,0.279,0.0688,0.2934,0.5822,0.0612,0.4494,0.1754,0.3804,0.0612,0.4494,15587.35948,10.94059,25.2666,0.5964,0.3612,0.0424,0.3678,0.752,0.0348,0.2536,0.2282,0.525,0.0348,0.2536,1518.86785,14.61508,32.34486,0.878,0.1108,0.0112,0.1004,0.253,0.013,0.0732,0.0754,0.2096,0.013,0.0732,6888.42811,14.21657,30.83255,0.843,0.0816,0.0754,0.0846,0.182,0.0654,0.489,0.057,0.1358,0.0654,0.489
3,19836.68562,12.59838,27.85564,0.676,0.2634,0.0606,0.3234,0.5166,0.0682,0.4734,0.187,0.352,0.0682,0.4734,13039.91405,11.05417,25.75367,0.6152,0.3462,0.0386,0.3968,0.7108,0.04,0.2772,0.2512,0.5086,0.04,0.2772,820.2926,14.63289,32.36081,0.883,0.106,0.011,0.1078,0.2324,0.0152,0.08,0.0828,0.1938,0.0152,0.08,6014.01549,14.43307,31.3941,0.8606,0.0728,0.0666,0.0852,0.1538,0.0728,0.508,0.0586,0.119,0.0728,0.508
4,18396.04008,12.24624,26.96896,0.6404,0.2934,0.0662,0.3444,0.5342,0.0446,0.4674,0.2054,0.3722,0.0446,0.4674,14421.69732,10.77787,24.96977,0.589,0.3706,0.0404,0.4256,0.6754,0.0262,0.264,0.2628,0.4858,0.0262,0.264,1667.80538,14.58865,32.31725,0.8752,0.1128,0.012,0.1162,0.2276,0.0104,0.0804,0.0912,0.191,0.0104,0.0804,5635.31826,14.32842,31.00887,0.8452,0.0804,0.0744,0.0962,0.1568,0.0482,0.5172,0.0672,0.1222,0.0482,0.5172
5,20393.78868,12.52794,27.491,0.6578,0.2742,0.068,0.2738,0.5498,0.0566,0.4798,0.1634,0.3708,0.0566,0.4798,14711.95524,11.04323,25.46587,0.5976,0.361,0.0414,0.3468,0.7414,0.0344,0.2764,0.2236,0.5216,0.0344,0.2764,786.72803,14.70914,32.46893,0.883,0.106,0.011,0.0876,0.2366,0.0124,0.0752,0.0694,0.1926,0.0124,0.0752,6965.15202,14.35358,31.11244,0.8522,0.0742,0.0736,0.0692,0.1574,0.0602,0.5092,0.047,0.1204,0.0602,0.5092
6,17658.19741,12.53146,27.64897,0.671,0.2586,0.0704,0.315,0.4462,0.036,0.4366,0.198,0.325,0.036,0.4366,13613.52662,10.88817,25.48642,0.5976,0.3608,0.0416,0.4298,0.6184,0.0218,0.245,0.2788,0.464,0.0218,0.245,1856.11833,14.64371,32.37377,0.8794,0.1084,0.0122,0.1206,0.2022,0.009,0.072,0.094,0.1738,0.009,0.072,4307.96904,14.45767,31.32266,0.8538,0.0708,0.0754,0.0842,0.1288,0.0394,0.4666,0.059,0.1024,0.0394,0.4666
7,19874.02693,12.42357,27.50919,0.6664,0.2718,0.0618,0.3334,0.515,0.0518,0.4626,0.1982,0.354,0.0518,0.4626,14821.66322,11.07541,25.77697,0.618,0.3466,0.0354,0.4112,0.6712,0.028,0.2468,0.256,0.4892,0.028,0.2468,1549.56271,14.70844,32.50842,0.8878,0.1028,0.0094,0.109,0.2134,0.0096,0.0616,0.084,0.1814,0.0096,0.0616,6297.30336,14.36576,31.1828,0.8586,0.074,0.0674,0.0882,0.15,0.0542,0.5024,0.0604,0.118,0.0542,0.5024
8,15867.07149,12.37884,27.23809,0.6546,0.2648,0.0806,0.316,0.5108,0.0536,0.4294,0.1878,0.3564,0.0536,0.4294,13388.94172,10.89515,25.31349,0.5914,0.3558,0.0528,0.4092,0.704,0.0316,0.2592,0.258,0.5042,0.0316,0.2592,1629.38648,14.57961,32.28268,0.8726,0.1092,0.0182,0.1144,0.2352,0.0104,0.0818,0.0866,0.1962,0.0104,0.0818,3862.70247,14.30986,30.93501,0.8376,0.074,0.0884,0.0862,0.154,0.057,0.4714,0.0596,0.1166,0.057,0.4714
9,19471.10989,12.52534,27.61363,0.6774,0.2684,0.0542,0.3028,0.5108,0.0616,0.4766,0.1842,0.349,0.0616,0.4766,15159.01734,10.92854,25.43269,0.6082,0.3572,0.0346,0.397,0.6874,0.0344,0.2648,0.2526,0.4944,0.0344,0.2648,1378.40168,14.61681,32.34567,0.8812,0.1094,0.0094,0.1074,0.227,0.0126,0.0768,0.085,0.1894,0.0126,0.0768,3560.24464,14.44875,31.2984,0.8668,0.0738,0.0594,0.0778,0.1478,0.0654,0.5104,0.0556,0.1166,0.0654,0.5104
10,20625.9208,12.71449,27.92717,0.6772,0.2572,0.0656,0.275,0.5624,0.0394,0.5484,0.1636,0.383,0.0394,0.5484,14937.3557,11.315,26.068,0.629,0.332,0.039,0.345,0.7464,0.0234,0.3086,0.2188,0.526,0.0234,0.3086,1703.561,14.74124,32.50982,0.8898,0.0988,0.0114,0.0886,0.2354,0.0082,0.0876,0.0682,0.1972,0.0082,0.0876,6171.61164,14.43569,31.26969,0.8592,0.0714,0.0694,0.0706,0.1664,0.0424,0.588,0.048,0.131,0.0424,0.588
11,18142.18648,12.11714,26.78693,0.636,0.2992,0.0648,0.3514,0.5786,0.0444,0.4472,0.2008,0.385,0.0444,0.4472,14291.43687,10.74821,24.884,0.5756,0.3822,0.0422,0.4248,0.7352,0.0274,0.267,0.2556,0.5068,0.0274,0.267,2177.57912,14.51627,32.11286,0.8656,0.1202,0.0142,0.1166,0.2536,0.011,0.0884,0.0878,0.2064,0.011,0.0884,4061.55229,14.2989,30.9407,0.8406,0.0866,0.0728,0.102,0.171,0.0478,0.5002,0.0654,0.1296,0.0478,0.5002
12,19931.90063,12.6275,27.84757,0.6788,0.2604,0.0608,0.3112,0.5162,0.0656,0.4852,0.1886,0.3564,0.0656,0.4852,15055.58899,11.00594,25.84672,0.623,0.3402,0.0368,0.4074,0.6814,0.0382,0.2618,0.2578,0.4962,0.0382,0.2618,1085.57839,14.6754,32.43224,0.8896,0.1014,0.009,0.104,0.2212,0.0132,0.067,0.0834,0.189,0.0132,0.067,6104.69185,14.41262,31.31949,0.8634,0.071,0.0656,0.086,0.145,0.0698,0.5116,0.0584,0.1096,0.0698,0.5116
13,14871.51566,12.76641,27.91152,0.6848,0.2408,0.0744,0.2648,0.4466,0.0496,0.438,0.1638,0.3166,0.0496,0.438,11741.69542,10.96883,25.49984,0.609,0.3494,0.0416,0.3672,0.659,0.0272,0.2384,0.2372,0.4908,0.0272,0.2384,1125.90824,14.72994,32.49156,0.8852,0.1024,0.0124,0.0984,0.209,0.0106,0.0658,0.0782,0.185,0.0106,0.0658,2654.88649,14.50238,31.32818,0.8558,0.0646,0.0796,0.0636,0.132,0.0522,0.467,0.0486,0.105,0.0522,0.467
14,19435.29739,12.3927,27.46888,0.6648,0.2712,0.064,0.3244,0.564,0.0482,0.4492,0.1934,0.38,0.0482,0.4492,15519.74019,11.00234,25.63273,0.6126,0.348,0.0394,0.406,0.7274,0.0292,0.2562,0.2466,0.5116,0.0292,0.2562,840.73911,14.66268,32.3774,0.8864,0.1036,0.01,0.1052,0.2338,0.011,0.0666,0.0808,0.1934,0.011,0.0666,6312.71144,14.30413,31.05926,0.8588,0.071,0.0702,0.0798,0.1558,0.0508,0.4888,0.0554,0.1208,0.0508,0.4888
15,17803.36888,12.47716,27.50133,0.6508,0.2856,0.0636,0.3306,0.4972,0.05,0.4728,0.196,0.346,0.05,0.4728,12726.45797,10.77843,25.0448,0.589,0.3716,0.0394,0.4004,0.6694,0.0294,0.2676,0.2586,0.4864,0.0294,0.2676,1515.32754,14.61192,32.36841,0.8766,0.1114,0.012,0.1138,0.2166,0.0112,0.08,0.0876,0.1828,0.0112,0.08,3288.9562,14.38721,31.13752,0.8538,0.0764,0.0698,0.0866,0.1424,0.0534,0.5118,0.0586,0.1102,0.0534,0.5118
16,18586.79276,12.51044,27.3913,0.6542,0.2658,0.08,0.2782,0.4946,0.0546,0.4836,0.1726,0.3452,0.0546,0.4836,14839.49432,10.95611,25.31465,0.5924,0.361,0.0466,0.3742,0.664,0.0314,0.2658,0.2424,0.4826,0.0314,0.2658,1378.3782,14.61001,32.26047,0.8772,0.1108,0.012,0.1052,0.2218,0.0112,0.0698,0.0828,0.1894,0.0112,0.0698,4514.71923,14.25395,30.75607,0.8354,0.0788,0.0858,0.0836,0.1504,0.059,0.5132,0.0558,0.117,0.059,0.5132
17,19545.16068,12.29133,26.97223,0.6394,0.2872,0.0734,0.3,0.5492,0.0522,0.4596,0.181,0.371,0.0522,0.4596,15466.64305,10.74457,24.73078,0.576,0.379,0.045,0.3788,0.7256,0.0322,0.2668,0.2378,0.5092,0.0322,0.2668,916.12479,14.6531,32.36791,0.8796,0.1084,0.012,0.0968,0.2288,0.012,0.0742,0.0762,0.1946,0.012,0.0742,3653.6566,14.26248,30.72363,0.8448,0.0752,0.08,0.0718,0.1534,0.0556,0.4994,0.0516,0.1178,0.0556,0.4994
18,15872.77868,12.38054,27.50063,0.6606,0.2892,0.0502,0.3554,0.4902,0.0416,0.437,0.2122,0.3496,0.0416,0.437,13750.64573,10.78976,25.26934,0.5956,0.3728,0.0316,0.435,0.6422,0.0228,0.2478,0.2718,0.4684,0.0228,0.2478,1805.31997,14.75732,32.58728,0.8884,0.1042,0.0074,0.1098,0.1998,0.0072,0.0624,0.0872,0.1718,0.0072,0.0624,2297.08856,14.61228,31.65979,0.8712,0.073,0.0558,0.0788,0.1408,0.0466,0.48,0.0588,0.1144,0.0466,0.48
19,19115.23895,11.83607,25.8108,0.5936,0.2732,0.1332,0.32,0.5436,0.0532,0.4322,0.1906,0.3758,0.0532,0.4322,15236.53608,10.75323,24.658,0.56,0.36,0.08,0.404,0.7178,0.0286,0.2504,0.2498,0.5048,0.0286,0.2504,1212.90876,14.65208,32.2688,0.8738,0.1006,0.0256,0.1014,0.2166,0.0078,0.068,0.078,0.1808,0.0078,0.068,5296.07777,13.79839,29.47121,0.7826,0.0686,0.1488,0.0772,0.1464,0.06,0.4702,0.0524,0.111,0.06,0.4702
20,16063.94917,12.30685,27.13594,0.6522,0.2788,0.069,0.3128,0.5178,0.036,0.414,0.1878,0.3588,0.036,0.414,12492.45519,10.87479,25.1771,0.5914,0.3688,0.0398,0.3982,0.6966,0.0216,0.2262,0.247,0.5008,0.0216,0.2262,1522.65065,14.67775,32.40325,0.8862,0.1032,0.0106,0.0988,0.2134,0.0074,0.0592,0.0766,0.1798,0.0074,0.0592,4011.78321,14.42177,31.27002,0.8578,0.066,0.0762,0.0654,0.1384,0.0402,0.4556,0.0484,0.107,0.0402,0.4556
21,18612.22215,12.10491,26.73736,0.6354,0.2928,0.0718,0.3334,0.5442,0.0656,0.4284,0.2018,0.3698,0.0656,0.4284,13022.99834,10.82025,24.90725,0.5808,0.375,0.0442,0.418,0.6904,0.0378,0.2456,0.255,0.4902,0.0378,0.2456,1017.08243,14.6634,32.32382,0.8816,0.107,0.0114,0.1064,0.2184,0.012,0.062,0.0816,0.1844,0.012,0.062,4741.32975,14.23926,30.78879,0.8424,0.0772,0.0804,0.0878,0.1534,0.072,0.4776,0.0596,0.1174,0.072,0.4776
22,16899.63045,12.36088,27.33822,0.6588,0.2708,0.0704,0.3458,0.5238,0.031,0.447,0.2042,0.3696,0.031,0.447,14979.77795,10.94591,25.63643,0.5986,0.3556,0.0458,0.4432,0.6848,0.019,0.2686,0.273,0.4844,0.019,0.2686,1795.70017,14.62087,32.34142,0.8808,0.1068,0.0124,0.122,0.2222,0.0074,0.0756,0.0906,0.1862,0.0074,0.0756,4316.69326,14.41707,31.20702,0.8486,0.0736,0.0778,0.0928,0.1508,0.033,0.4932,0.0642,0.1212,0.033,0.4932
23,18207.25024,12.5441,27.41375,0.661,0.2394,0.0996,0.27,0.4698,0.0776,0.4212,0.16,0.3194,0.0776,0.4212,13594.30334,10.9381,25.37781,0.602,0.3378,0.0602,0.3522,0.6934,0.0432,0.2374,0.2342,0.512,0.0432,0.2374,1054.78822,14.62596,32.42054,0.8786,0.104,0.0174,0.0968,0.2272,0.0132,0.0664,0.0798,0.1964,0.0132,0.0664,5690.46079,14.10811,30.47536,0.8318,0.0634,0.1048,0.0666,0.1366,0.0812,0.44,0.0474,0.1048,0.0812,0.44
