run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,6928.44515,9.45327,18.492,0.8146,0.1358,0.0496,0.1222,0.297,0.0356,0.3014,0.0902,0.2362,0.0356,0.3014,6488.29485,8.23719,16.9512,0.7278,0.2454,0.0268,0.205,0.527,0.0198,0.1536,0.159,0.4394,0.0198,0.1536,1437.56902,10.15938,19.79188,0.9082,0.0832,0.0086,0.082,0.185,0.008,0.0592,0.0698,0.1644,0.008,0.0592,1507.75934,10.14263,19.42252,0.9046,0.043,0.0524,0.0408,0.1066,0.0378,0.319,0.0316,0.0864,0.0378,0.319
2,7393.49352,9.46012,18.51056,0.8204,0.1292,0.0504,0.123,0.2968,0.0424,0.3228,0.0874,0.2282,0.0424,0.3228,6345.09524,8.28463,17.11579,0.7376,0.237,0.0254,0.2036,0.5418,0.0226,0.1538,0.1596,0.448,0.0226,0.1538,847.0859,10.16182,19.80042,0.9046,0.0866,0.0088,0.0768,0.203,0.0096,0.055,0.0628,0.179,0.0096,0.055,2933.43395,10.08719,19.42949,0.907,0.0396,0.0534,0.0374,0.1078,0.0448,0.339,0.0296,0.086,0.0448,0.339
3,8708.0474,9.45408,18.58642,0.8144,0.1382,0.0474,0.1504,0.3024,0.0522,0.3646,0.105,0.2388,0.0522,0.3646,7092.20947,8.22793,17.07878,0.7378,0.2386,0.0236,0.242,0.5236,0.027,0.1772,0.181,0.4288,0.027,0.1772,1449.36039,10.17519,19.85301,0.9126,0.0796,0.0078,0.0842,0.182,0.0118,0.0596,0.0692,0.1618,0.0118,0.0596,2868.74018,10.13109,19.52016,0.9086,0.043,0.0484,0.052,0.1062,0.0554,0.3776,0.0376,0.086,0.0554,0.3776
4,6882.75113,9.58415,18.66027,0.8284,0.1198,0.0518,0.13,0.2354,0.0342,0.3604,0.094,0.1834,0.0342,0.3604,7395.43526,8.20429,17.03804,0.7328,0.2428,0.0244,0.2356,0.489,0.018,0.175,0.1856,0.4146,0.018,0.175,1773.05817,10.15229,19.82114,0.904,0.0864,0.0096,0.085,0.1818,0.0086,0.0622,0.0736,0.1646,0.0086,0.0622,3138.69529,10.17854,19.56561,0.9064,0.0404,0.0532,0.0424,0.0972,0.0354,0.3746,0.0346,0.078,0.0354,0.3746
5,7176.86665,9.4905,18.53346,0.8162,0.1322,0.0516,0.118,0.2918,0.043,0.3554,0.0846,0.2266,0.043,0.3554,6999.95015,8.26817,17.00982,0.7338,0.242,0.0242,0.2024,0.5298,0.0228,0.1684,0.1548,0.4388,0.0228,0.1684,1423.34415,10.15298,19.73515,0.911,0.081,0.008,0.0722,0.1868,0.009,0.055,0.0578,0.168,0.009,0.055,2738.34677,10.1168,19.4476,0.9074,0.04,0.0526,0.0376,0.1016,0.0442,0.3678,0.0278,0.0834,0.0442,0.3678
6,7259.07992,9.20094,18.09788,0.7862,0.1578,0.056,0.1784,0.2892,0.0284,0.3358,0.1324,0.236,0.0284,0.3358,8042.61922,8.11141,16.87021,0.7166,0.2554,0.028,0.2822,0.4714,0.0148,0.16,0.2148,0.3892,0.0148,0.16,1169.64026,10.1185,19.68289,0.9008,0.09,0.0092,0.0988,0.1728,0.0068,0.0558,0.082,0.152,0.0068,0.0558,2510.67712,10.07872,19.33883,0.8922,0.0492,0.0586,0.0584,0.1004,0.0294,0.3538,0.0442,0.0822,0.0294,0.3538
7,7355.97357,9.49313,18.62062,0.8314,0.1254,0.0432,0.1384,0.2564,0.0348,0.3126,0.0982,0.2086,0.0348,0.3126,6509.61719,8.30971,17.26347,0.7532,0.226,0.0208,0.2308,0.4798,0.017,0.134,0.1818,0.408,0.017,0.134,1151.42175,10.15726,19.76778,0.9138,0.0798,0.0064,0.0846,0.1802,0.0072,0.0462,0.0722,0.1604,0.0072,0.0462,3178.86162,10.13615,19.54333,0.915,0.0394,0.0456,0.0434,0.0998,0.037,0.3282,0.0348,0.082,0.037,0.3282
8,8076.15497,9.26938,18.13282,0.7812,0.1498,0.069,0.1606,0.3178,0.0438,0.3648,0.1144,0.2472,0.0438,0.3648,7564.15364,8.10891,16.73468,0.712,0.2488,0.0392,0.2528,0.5286,0.023,0.1928,0.1882,0.4274,0.023,0.1928,1221.88888,10.1555,19.77885,0.9002,0.0856,0.0142,0.09,0.1884,0.0094,0.0648,0.0732,0.1654,0.0094,0.0648,3229.23984,10.02642,19.18784,0.8856,0.0436,0.0708,0.051,0.1068,0.046,0.3778,0.0386,0.0856,0.046,0.3778
9,7711.2722,9.58192,18.67284,0.835,0.123,0.042,0.129,0.2476,0.0458,0.356,0.092,0.1922,0.0458,0.356,7257.08617,8.2271,17.09255,0.741,0.2372,0.0218,0.2258,0.4942,0.0226,0.1784,0.1796,0.4238,0.0226,0.1784,869.36639,10.17602,19.85347,0.9106,0.0822,0.0072,0.0794,0.1836,0.0102,0.0586,0.0696,0.164,0.0102,0.0586,2542.4192,10.20059,19.58259,0.9184,0.0386,0.043,0.0402,0.0936,0.0468,0.3708,0.0302,0.0738,0.0468,0.3708
10,9258.52616,9.51635,18.60566,0.8238,0.1284,0.0478,0.1252,0.3106,0.03,0.4104,0.0876,0.2412,0.03,0.4104,7813.94068,8.3847,17.27146,0.7532,0.2232,0.0236,0.2002,0.5312,0.0146,0.1938,0.1542,0.4356,0.0146,0.1938,1469.50837,10.17436,19.74896,0.9118,0.0808,0.0074,0.0718,0.1976,0.0064,0.0632,0.0594,0.1724,0.0064,0.0632,3317.356,10.10706,19.42942,0.9098,0.0418,0.0484,0.0432,0.1152,0.0308,0.422,0.0322,0.0926,0.0308,0.422
